,Bloque,Congruencia,Tiempo,Grupo
0,Repeat,congruent,806.6170212765958,1
1,Repeat,congruent,1098.840909090909,1
2,Repeat,congruent,1279.5217391304348,1
3,Repeat,congruent,838.0625,1
4,Repeat,incongruent,841.9795918367347,1
5,Repeat,incongruent,1049.8260869565217,1
6,Repeat,incongruent,1158.7826086956522,1
7,Repeat,incongruent,870.0,1
8,Switch,congruent,1184.0,1
9,Switch,congruent,1695.6153846153845,1
10,Switch,congruent,1902.3076923076924,1
11,Switch,congruent,1007.2,1
12,Switch,incongruent,1130.6666666666667,1
13,Switch,incongruent,1568.076923076923,1
14,Switch,incongruent,1632.7272727272727,1
15,Switch,incongruent,1034.4705882352941,1
16,Both,congruent,538.0877192982456,1
17,Both,congruent,950.2586206896551,1
18,Both,congruent,746.6833333333333,1
19,Both,congruent,647.2631578947369,1
20,Both,incongruent,549.2203389830509,1
21,Both,incongruent,883.1896551724138,1
22,Both,incongruent,749.0178571428571,1
23,Both,incongruent,620.0169491525423,1
25,Repeat,congruent,918.8372093023256,2
26,Repeat,congruent,1285.063829787234,2
27,Repeat,congruent,915.0444444444445,2
28,Repeat,congruent,1136.8837209302326,2
29,Repeat,congruent,1099.5333333333333,2
30,Repeat,incongruent,1001.3409090909091,2
31,Repeat,incongruent,1243.6046511627908,2
32,Repeat,incongruent,880.7179487179487,2
33,Repeat,incongruent,986.5116279069767,2
34,Repeat,incongruent,1572.4130434782608,2
35,Switch,congruent,1396.9333333333334,2
36,Switch,congruent,1462.1666666666667,2
37,Switch,congruent,644.5,2
38,Switch,congruent,1174.5714285714287,2
39,Switch,congruent,1096.1538461538462,2
40,Switch,incongruent,1139.5714285714287,2
41,Switch,incongruent,1535.857142857143,2
42,Switch,incongruent,1196.0,2
43,Switch,incongruent,1296.125,2
44,Switch,incongruent,1190.5,2
45,Both,congruent,608.9655172413793,2
46,Both,congruent,601.719298245614,2
47,Both,congruent,907.2372881355932,2
48,Both,congruent,836.7796610169491,2
49,Both,congruent,776.1578947368421,2
50,Both,incongruent,639.5344827586207,2
51,Both,incongruent,666.5084745762712,2
52,Both,incongruent,704.140350877193,2
53,Both,incongruent,909.859649122807,2
54,Both,incongruent,605.542372881356,2
