,Bloque,Congruencia,Tiempo,Grupo
0,Repeat,congruent,806.6170212765958,1
1,Repeat,congruent,1078.1860465116279,1
2,Repeat,congruent,1279.5217391304348,1
3,Repeat,congruent,838.0625,1
4,Repeat,incongruent,841.9795918367347,1
5,Repeat,incongruent,1084.027027027027,1
6,Repeat,incongruent,1099.0,1
7,Repeat,incongruent,873.7368421052631,1
8,Switch,congruent,1184.0,1
9,Switch,congruent,1507.8,1
10,Switch,congruent,1901.0833333333333,1
11,Switch,congruent,1007.2,1
12,Switch,incongruent,1130.6666666666667,1
13,Switch,incongruent,1208.1666666666667,1
14,Switch,incongruent,1632.7272727272727,1
15,Switch,incongruent,1019.6666666666666,1
16,Both,congruent,538.0877192982456,1
17,Both,congruent,814.3333333333334,1
18,Both,congruent,750.3389830508474,1
19,Both,congruent,651.0,1
20,Both,incongruent,549.2203389830509,1
21,Both,incongruent,762.7291666666666,1
22,Both,incongruent,689.9090909090909,1
23,Both,incongruent,623.0,1
0,Repeat,congruent,911.8536585365854,2
1,Repeat,congruent,1226.0434782608695,2
2,Repeat,congruent,919.5,2
3,Repeat,congruent,1118.3095238095239,2
4,Repeat,congruent,880.2051282051282,2
5,Repeat,incongruent,1002.8536585365854,2
6,Repeat,incongruent,1250.6,2
7,Repeat,incongruent,836.625,2
8,Repeat,incongruent,966.925,2
9,Repeat,incongruent,822.4117647058823,2
10,Switch,congruent,1396.9333333333334,2
11,Switch,congruent,1421.7,2
12,Switch,congruent,634.0,2
13,Switch,congruent,1174.5714285714287,2
14,Switch,congruent,759.4545454545455,2
15,Switch,incongruent,1197.9166666666667,2
16,Switch,incongruent,1701.7272727272727,2
17,Switch,incongruent,891.0,2
18,Switch,incongruent,1439.0833333333333,2
19,Switch,incongruent,729.3333333333334,2
20,Both,congruent,609.1071428571429,2
21,Both,congruent,541.0357142857143,2
22,Both,congruent,709.7222222222222,2
23,Both,congruent,749.4285714285714,2
24,Both,congruent,612.5769230769231,2
25,Both,incongruent,618.6071428571429,2
26,Both,incongruent,628.1551724137931,2
27,Both,incongruent,622.3,2
28,Both,incongruent,777.4565217391304,2
29,Both,incongruent,577.8,2
